Dealer Name,Email,Batch,Date Sent
"Rainey Used Cars",info@raineyga.com,1,2025-12-18
"G to G Towing",matt@pixelspread.com,1,2025-12-18
"Preston Diversified Auto Inc",prestondivsales@gmail.com,1,2025-12-18
"Arena Motors LLC",alexarenamotors@gmail.com,1,2025-12-18
"Anchor Auto Center LLC",info@anchorautocenter.com,1,2025-12-18
"ASAP Auto Brokers LLC",asapautobrokers@gmail.com,1,2025-12-18
"Georgia Auto Brokers",gacarbrokers@gmail.com,1,2025-12-18
"Classic Atlanta Pre-Owned",smorales@classicatlanta.com,1,2025-12-18
"Carmona Auto Sales LLC",carmonaautosales1@gmail.com,1,2025-12-18
"Atlanta True Cars",atlantatruecars@gmail.com,1,2025-12-18
"Kenny's Automotive Center",byronk515@gmail.com,1,2025-12-18
"Autos Buy Don",autosbuydon@gmail.com,1,2025-12-18
"The Car Market",thecarmarketbuyers@gmail.com,1,2025-12-18
"Galaxy Car Sales LLC",james.belisha@gmail.com,1,2025-12-18
"Better Way Auto Sales",bwautosalesga@gmail.com,1,2025-12-18
"Parwan Auto LLC",zacwakili2005@gmail.com,1,2025-12-18
"Georgia Hwy 20 Auto Sales",sales@georgiaautosale.com,1,2025-12-18
"Sher Motors",shermotorsllc@gmail.com,1,2025-12-18
"Vaden of Beaufort",beaufort@vadenauto.com,1,2025-12-18
"Capital City Buick GMC",leads@capitalcitygmc.net,1,2025-12-18
"Mercedes-Benz of Augusta",dmcconnell@mbaugusta.com,1,2025-12-18
"Benji Auto Sales",sales@benjiautosales.com,1,2025-12-18
"Augusta Toyota",lrobinson@augustatoyota.com,1,2025-12-18
"Mercedes-Benz of Columbus",mbcolumbusgm@mercedescolumbus.net,1,2025-12-18
"Thomson Chrysler Dodge Jeep Ram Fiat",sales@thomsoncdjrf.com,1,2025-12-18
"Hilton Head Volkswagen",info@hiltonheadvw.com,1,2025-12-18
"BMW of Athens",jessica.sopson@athensbmw.com,1,2025-12-18
"BMW of Columbus",georgia.simonds@bmwofcolumbus.com,1,2025-12-18
"Genesis of Kennesaw",ctompkins@genesisofkennesaw.com,1,2025-12-18
"RBM of Alpharetta",webleads@rbmofalpharetta.com,1,2025-12-18
"Jim Hudson Acura",contact@jimhudsonacura.com,1,2025-12-18
"1 Owner Auto Sales",1ownerautosales@gmail.com,1,2025-12-18
"Foster Auto Sales",dfoster@fosterautosales.net,1,2025-12-18
"McDaniels Acura of Newnan",leads@mcdanielsnewnan.com,1,2025-12-18
"Bullock's Auto Sales",bullocksautosales@gmail.com,1,2025-12-18
"Mi Carro Auto Sales",micarroautosales@gmail.com,1,2025-12-18
"Merlin Auto Group",sales@merlinautogroup.com,1,2025-12-18
"Savannah Auto Trader",info@savannahautotrader.com,1,2025-12-18
"1 Car For You Auto Sales LLC",1carforyou3000@gmail.com,2,2025-12-18
"Turn and Burn Motors Griffin",turnandburnmotors@gmail.com,2,2025-12-18
"Diverse Motors Auto Center",vin_dm@outlook.com,2,2025-12-18
"Freedom Auto Sales",daniel.brown@drivefreedomautos.com,2,2025-12-18
"Rick Hendrick Chrysler Dodge Jeep RAM Duluth",gcj-managers@hendrickauto.com,2,2025-12-18
"Rick Hendrick Buick GMC",sunshine.dehass@hendrickauto.com,2,2025-12-18
"Lowe Toyota of Warner Robins",jsmith@lowetoyota.com,2,2025-12-18
