Name,Address,Phone,Website,Email,All Emails,Google Maps,Rating,Reviews,City
"Rainey Used Cars-Valdosta","3255 N Valdosta Rd, Valdosta, GA 31602, USA","(229) 660-0690","https://www.raineyusedcars.com/","info@raineyga.com","info@raineyga.com","https://maps.google.com/?cid=9544338012092299792",5,288,"Valdosta, GA"
"Persichetti Motor Sports Inc","2000 Airport Industrial Park Dr SE, Marietta, GA 30060, USA","(770) 850-8800","https://www.chettimotorsports.com/","","","https://maps.google.com/?cid=18437105157287983397",5,161,"Smyrna, GA"
"G to G towing - cash for used cars-wrecked or junk Fayetteville","140 Industrial Wy, Fayetteville, GA 30215, USA","(470) 709-7655","https://cashforcarsfayetteville.godaddysites.com/","matt@pixelspread.com","matt@pixelspread.com; impallari@gmail.com; hello@rfuenzalida.com; filler@godaddy.com; gracetogracetowing@gmail.com","https://maps.google.com/?cid=6410493529943921448",5,143,"Peachtree City, GA"
"Preston Diversified Auto Inc","1981 Commerce Rd, Athens, GA 30607, USA","(706) 583-9501","https://www.pdivauto.com/","prestondivsales@gmail.com","prestondivsales@gmail.com","https://maps.google.com/?cid=1491576368994430943",5,107,"Athens, GA"
"Hemstreet Motors","1000 Corporate Pointe Suite 305, Warner Robins, GA 31088, USA","(478) 320-8917","https://www.hemstreetmotors.com/","","","https://maps.google.com/?cid=2824536132535410275",5,100,"Warner Robins, GA"
"Trebor Auto Sales LLC","919 Parkside Walk Ln suite 101-B, Lawrenceville, GA 30043, USA","(770) 237-9982","http://www.treborautosales.com/","","","https://maps.google.com/?cid=8650826778326923176",5,93,"Lawrenceville, GA"
"Carrollton Hyundai","3751 Carrollton Villa Rica Hwy, Carrollton, GA 30116, USA","(770) 203-0106","https://www.hyundaicarrollton.com/","","","https://maps.google.com/?cid=3391269993075752730",5,85,"Carrollton, GA"
"Dealerguy.com, Inc.","2620 Hwy 81 E, McDonough, GA 30252, USA","(678) 688-5525","http://www.dealerguy.com/","","","https://maps.google.com/?cid=13513303430003745916",5,80,"McDonough, GA"
"ATL Midtown Auto","741 Piedmont Ave NE #700, Atlanta, GA 30308, USA","(404) 877-1187","http://atlmidtownauto.com/","","","https://maps.google.com/?cid=8052498176900747977",5,65,"Atlanta, GA"
"DIPRO AUTOMOTORS LLC","148 Temple Ave, Newnan, GA 30263, USA","(770) 285-0489","http://www.diproautomotorsllc.com/","","","https://maps.google.com/?cid=726927349710701927",5,62,"Newnan, GA"
