Name,Address,Phone,Website,Email,All Emails,Google Maps,Rating,Reviews,City
"Clutch Motors LLC","1909 W Roosevelt Blvd, Monroe, NC 28110, USA","(704) 635-7114","https://www.clutchmotorsllc.com/","clutchmotorsllc@gmail.com","clutchmotorsllc@gmail.com","https://maps.google.com/?cid=9290612255093006343",5,80,"Monroe, NC"
"Modern Classic Motorcars","3252 S Miami Blvd #137, Durham, NC 27703, USA","(984) 219-1005","http://www.modernclassicmotorcars.com/","dealer@modernclassicmotorcars.com","dealer@modernclassicmotorcars.com","https://maps.google.com/?cid=8641254071881915102",5,27,"Morrisville, NC"
"RS Motorsports NC","115 Nitro Aly, Mooresville, NC 28115, USA","(704) 360-4009","https://www.rsmotorsportsnc.com/","rob@rsmotorsportsnc.com","rob@rsmotorsportsnc.com","https://maps.google.com/?cid=5761794457672882507",5,8,"Mooresville, NC"
"MRZ Auto Group","4260 S Main St, Salisbury, NC 28147, USA","(980) 554-9823","http://mrzautogroup.com/","sales@mrzautogroup.com","sales@mrzautogroup.com; sales@mrzautogoup.com","https://maps.google.com/?cid=17589675315799558936",5,7,"Salisbury, NC"
"ELFER","1113 Copeland Oaks Dr, Morrisville, NC 27560, USA","(984) 777-9199","http://elfer.us/","info@elfer.us","info@elfer.us; eric@elfer.us","https://maps.google.com/?cid=11505401047373990758",5,7,"Morrisville, NC"
"motorcartrader","18605 Northline Dr, Cornelius, NC 28031, USA","(980) 216-8550","https://motorcartrader.com/contact/","marc@motorcartrader.com","marc@motorcartrader.com","https://maps.google.com/?cid=1370075464902558785",5,4,"Cornelius, NC"
"Stevenson-Hendrick Honda Wilmington","6720 Market St, Wilmington, NC 28405, USA","(910) 777-5828","https://www.stevensonhendrickhonda.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","how-salesmanagers@hendrickauto.com","how-salesmanagers@hendrickauto.com","https://maps.google.com/?cid=830656390937450131",4.9,10076,"Wilmington, NC"
"BMW of Asheville","31 Skyland Inn Dr, Arden, NC 28704, USA","(828) 681-9900","https://www.bmwofasheville.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website","larryt@fieldsauto.com","larryt@fieldsauto.com","https://maps.google.com/?cid=17964231197057063382",4.9,3243,"Asheville, NC"
"Pecheles Honda","3774 Dr. M.L.K. Jr Blvd, New Bern, NC 28562, USA","(252) 672-2188","https://www.pecheleshonda.com/?utm_source=GoogleBusinessProfile&utm_medium=organic","leads@pecheleshondaclients.com","leads@pecheleshondaclients.com","https://maps.google.com/?cid=6143179512868847237",4.9,1808,"New Bern, NC"
"I40 Auto","7962 National Service Rd, Greensboro, NC 27409, USA","(336) 900-8000","https://i40auto.com/","leads@i40autogroup.com","leads@i40autogroup.com","https://maps.google.com/?cid=1071270907499639424",4.9,504,"Greensboro, NC"
"Harris Cars Inc.","3460 Gribble Rd, Matthews, NC 28104, USA","(704) 684-0063","http://www.harriscarsinc.com/","office@harriscarsinc.com","office@harriscarsinc.com","https://maps.google.com/?cid=14112866242443968543",4.9,314,"Indian Trail, NC"
"Top Motors","5201 Poole Rd, Raleigh, NC 27610, USA","(919) 424-7912","https://topmotorsnc.com/","info@topmotorsnc.com","info@topmotorsnc.com","https://maps.google.com/?cid=8628955175219245835",4.9,241,"Raleigh, NC"
"TLC Automotive","3975 US-601, Concord, NC 28025, USA","(704) 262-2277","http://carstlc.com/","contact@carstlc.com","contact@carstlc.com","https://maps.google.com/?cid=8272463280962396074",4.9,232,"Concord, NC"
"Ridgeline Automotive","2 Snelson Dr, Asheville, NC 28806, USA","(828) 782-0820","https://ridgelineautomotivellc.com/","ridgelineauto@gmail.com","ridgelineauto@gmail.com","https://maps.google.com/?cid=11232508253631607529",4.9,225,"Asheville, NC"
"Jay's Used Cars LLC","901 E Wendover Ave, Greensboro, NC 27405, USA","(336) 574-0062","http://www.jaysusedcarsofgso.com/","jaysusedcars@gmail.com","jaysusedcars@gmail.com","https://maps.google.com/?cid=14400769064057261473",4.9,215,"Greensboro, NC"
"Taylor Smith Automotive","1604 S Cannon Blvd, Kannapolis, NC 28083, USA","(704) 298-0035","https://taylorsmithautomotive.com/","taylorsmithautomotive@gmail.com","taylorsmithautomotive@gmail.com","https://maps.google.com/?cid=14665944908559141564",4.9,131,"Kannapolis, NC"
"Black Label Motors","615 Stallings Rd STE A, Matthews, NC 28104, USA","(704) 781-7175","http://www.blacklabelmotors.com/","dlabel@blacklabelmotors.com","dlabel@blacklabelmotors.com","https://maps.google.com/?cid=5028836484655859309",4.9,125,"Matthews, NC"
"Vann’s Auto Sales","109 Edgar St, Goldsboro, NC 27530, USA","(919) 736-2587","http://www.vannsautosales.com/","vannlane@yahoo.com","vannlane@yahoo.com","https://maps.google.com/?cid=12633005463570024385",4.9,89,"Goldsboro, NC"
"4042 Motors","12606 Cleveland Rd, Garner, NC 27529, USA","(919) 772-4042","http://www.4042motors.com/","email@address.com","email@address.com","https://maps.google.com/?cid=3627157391336171022",4.9,82,"Garner, NC"
"Autos Direct","2623 S Main St, Concord, NC 28027, USA","(704) 925-1088","http://autosdirectnc.com/","bbowlin@autosdirectnc.com","bbowlin@autosdirectnc.com","https://maps.google.com/?cid=9015757979724290126",4.9,54,"Concord, NC"
"Coast Motors Inc","4203 Oleander Dr, Wilmington, NC 28403, USA","(910) 899-4020","http://coastmotorsinc.com/","coastmotorsinc@gmail.com","coastmotorsinc@gmail.com","https://maps.google.com/?cid=9682489772962515868",4.9,53,"Wilmington, NC"
"Hendrick Toyota Concord","7670 Bruton Smith Blvd, Concord, NC 28027, USA","(704) 467-8287","https://www.hendricktoyotaconcord.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","vernita.reveron@hendrickauto.com","vernita.reveron@hendrickauto.com","https://maps.google.com/?cid=4452604256655773990",4.8,11430,"Concord, NC"
"Impex Auto Sales","3518 S Holden Rd, Greensboro, NC 27407, USA","(336) 271-5987","https://www.impexautosales.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","sales@impexautosales.com","sales@impexautosales.com","https://maps.google.com/?cid=10887824836717163232",4.8,9646,"Greensboro, NC"
"Reggie Jackson Airport Honda","9530 Lumley Rd, Morrisville, NC 27560, USA","(984) 884-0009","https://www.reggiejacksonairporthonda.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","lum-sales@hendrickauto.com","lum-sales@hendrickauto.com","https://maps.google.com/?cid=10693326662411823863",4.8,7240,"Morrisville, NC"
"Coastal Kia","6115 Market St, Wilmington, NC 28405, USA","(910) 408-0100","https://www.coastalkia.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp+sales","pkoballa@coastalkia.com","pkoballa@coastalkia.com","https://maps.google.com/?cid=17709256658366786393",4.8,3181,"Wilmington, NC"
"Stevenson Hendrick Honda Jacksonville","2221 N Marine Blvd, Jacksonville, NC 28546, USA","(910) 378-2388","https://www.stevensonhendrickhondajacksonville.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","hhj-sales@hendrickauto.com","hhj-sales@hendrickauto.com","https://maps.google.com/?cid=7786497763132225892",4.8,2893,"Jacksonville, NC"
"Johnson Lexus of Durham","1013 Southpoint Autopark Blvd, Durham, NC 27713, USA","(919) 888-4876","https://www.johnsonlexusdurham.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp+sales","johnsonlexusofdurham@eleadtrack.net","johnsonlexusofdurham@eleadtrack.net","https://maps.google.com/?cid=6858424420074667232",4.8,2832,"Durham, NC"
"Mercedes-Benz of Asheville","649 Airport Rd, Fletcher, NC 28732, USA","(828) 609-1500","https://www.mercedesbenzofasheville.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website","jackson@fieldsauto.com","jackson@fieldsauto.com","https://maps.google.com/?cid=16639622941284860439",4.8,2153,"Asheville, NC"
"Hendrick Cadillac Cary","101 Team Hendrick Way, Cary, NC 27511, USA","(919) 439-6644","https://www.hendrickcadillaccary.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","joshua.feldman@hendrickauto.com","joshua.feldman@hendrickauto.com","https://maps.google.com/?cid=10512596306732554849",4.8,1667,"Cary, NC"
"Kings Auto Sales LLC","2301 Hendersonville Rd, Arden, NC 28704, USA","(828) 651-5464","https://www.kingsautosalesnc.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=website_button","sales@651king.com","sales@651king.com","https://maps.google.com/?cid=741832966240972853",4.8,936,"Asheville, NC"
"Flow Hyundai of Statesville","1015 Folger Dr, Statesville, NC 28625, USA","(980) 434-7200","https://www.flowhyundaistatesville.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","sales@flowhyundaistatesville.edealerhub.com","sales@flowhyundaistatesville.edealerhub.com; accessibility@hmausa.com","https://maps.google.com/?cid=9084734736063402949",4.8,760,"Statesville, NC"
"Crown Auto Sales and Finance","1462 Ashley Rd, Charlotte, NC 28208, USA","(704) 395-8441","http://www.buyatcrown.com/","sales@buyatcrown.com","sales@buyatcrown.com","https://maps.google.com/?cid=3744898815650640848",4.8,746,"Charlotte, NC"
"The New Carolina Cars.Org","345 Union Cemetery Rd SW, Concord, NC 28027, USA","(980) 248-1693","http://carolinacars.org/","lbrrholding@yahoo.com","lbrrholding@yahoo.com","https://maps.google.com/?cid=14026503732914774777",4.8,603,"Concord, NC"
"Wholesale Direct Auto","6017 Market St, Wilmington, NC 28405, USA","(833) 617-7823","https://www.wholesaledirectauto.com/","sales@wholesaledirectauto.com","sales@wholesaledirectauto.com","https://maps.google.com/?cid=17458851541352059056",4.8,164,"Wilmington, NC"
"Ivey Motorcars Inc","2508 S Church St, Burlington, NC 27215, USA","(336) 584-9200","http://www.iveymotorcars.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","sales@iveymotorcars.com","sales@iveymotorcars.com","https://maps.google.com/?cid=3477218753605573818",4.8,102,"Burlington, NC"
"Motors On Main","1529 N Main St, Fuquay-Varina, NC 27526, USA","(919) 205-2618","https://motorsonmain.hamiltonautosales.com/","motorsonmain@gmail.com","motorsonmain@gmail.com; hamautos@gmail.com","https://maps.google.com/?cid=1322286525462917842",4.8,35,"Holly Springs, NC"
