Name,Address,Phone,Website,Email,All Emails,Google Maps,Rating,Reviews,City
"Car Store Sales And Service","559 Church St N, Concord, NC 28025, USA","(980) 920-9938","https://carstoresalesandservice.com/","","","https://maps.google.com/?cid=5716403877798183649",5,405,"Concord, NC"
"Elite Motor Cars","2611 Alamance Rd, Burlington, NC 27215, USA","(336) 270-3073","http://www.elitemotorcarsnc.com/","","","https://maps.google.com/?cid=10043078253159516426",5,245,"Burlington, NC"
"Kannapolis Auto Sales","900 N Ridge Ave, Kannapolis, NC 28083, USA","(980) 680-3242","http://kannapolisautosales.com/","","","https://maps.google.com/?cid=14516657127048590846",5,189,"Concord, NC"
"Elite Imports of NC LLC","1382 N Church St STE 102, Burlington, NC 27217, USA","(919) 244-8379","http://eliteimportsnc.com/","","","https://maps.google.com/?cid=5190582359651840357",5,143,"Burlington, NC"
"L&I Auto Sales","456 Church St N B, Concord, NC 28025, USA","(980) 444-8049","http://liautosales.motorcarsites.com/","","","https://maps.google.com/?cid=16612324462406949394",5,142,"Concord, NC"
"Tim Newton Auto Sales Inc.","719 E Main St, Havelock, NC 28532, USA","(252) 447-7372","https://timnewtonautosales.com/","","","https://maps.google.com/?cid=100457239863871343",5,101,"New Bern, NC"
"Carolina Auto Direct of High Point","1820 Westchester Dr, High Point, NC 27262, USA","(336) 889-8747","https://www.carolinaautodirect.com/","","","https://maps.google.com/?cid=9037096720474315697",5,97,"High Point, NC"
"Y.E. Motors","1004 Investment Blvd, Apex, NC 27502, USA","(919) 800-0149","http://yemotors.com/","","","https://maps.google.com/?cid=8090492775542254289",5,86,"Apex, NC"
"Clutch Motors LLC","1909 W Roosevelt Blvd, Monroe, NC 28110, USA","(704) 635-7114","https://www.clutchmotorsllc.com/","clutchmotorsllc@gmail.com","clutchmotorsllc@gmail.com","https://maps.google.com/?cid=9290612255093006343",5,80,"Monroe, NC"
"Veloso Motors","954 N Cannon Blvd, Kannapolis, NC 28083, USA","(980) 249-7691","https://velosomotors.com/","","","https://maps.google.com/?cid=7293167338885881624",5,69,"Kannapolis, NC"
"Legends Preowned","3111 S Memorial Dr, Greenville, NC 27834, USA","(252) 275-8275","https://legendspreowned.com/","","","https://maps.google.com/?cid=17361395470879859829",5,66,"Greenville, NC"
"Best Deal Automobiles","3115 S Main St, Salisbury, NC 28147, USA","(704) 870-8548","http://bestdealautomobilesnc.com/","","","https://maps.google.com/?cid=5136610164973069428",5,64,"Salisbury, NC"
"Anik’s Auto Sales LLC","1909 S Church St Unit A, Burlington, NC 27215, USA","(336) 417-6952","http://www.aniksautosales.com/","","","https://maps.google.com/?cid=209871395354829500",5,40,"Burlington, NC"
"Trusted Auto Sales, llc","2019 Union Beltway Rd, Indian Trail, NC 28079, USA","(704) 318-8807","http://www.trustedautonc.com/","","","https://maps.google.com/?cid=5701171195468480295",5,33,"Indian Trail, NC"
"QR MOTOR COMPANY","1324 US-70, Garner, NC 27529, USA","(919) 900-7260","http://www.qrmotorco.com/","","","https://maps.google.com/?cid=17446017018131202170",5,28,"Garner, NC"
"Modern Classic Motorcars","3252 S Miami Blvd #137, Durham, NC 27703, USA","(984) 219-1005","http://www.modernclassicmotorcars.com/","dealer@modernclassicmotorcars.com","dealer@modernclassicmotorcars.com","https://maps.google.com/?cid=8641254071881915102",5,27,"Morrisville, NC"
"Lara Auto Sales","1985 W Mountain St, Kernersville, NC 27284, USA","(336) 897-5060","http://laraautos.com/","","","https://maps.google.com/?cid=11712648731724479969",5,24,"Kernersville, NC"
"Vault Motor Cars","515 Airport Rd, Salisbury, NC 28147, USA","(704) 740-5336","https://vaultmotorcars.com/","","","https://maps.google.com/?cid=9369505059575850139",5,22,"Salisbury, NC"
"1st Gen Motorsports","1518 S Ridge Ave, Kannapolis, NC 28083, USA","(336) 331-2226","http://1stgenmotorsports.com/","","","https://maps.google.com/?cid=17082559528125359706",5,16,"Kannapolis, NC"
"A3 Auto Sales LLC","112 Green Dr, Gastonia, NC 28054, USA","(704) 396-6165","http://a3autosales.com/","","","https://maps.google.com/?cid=15947308162873858557",5,12,"Gastonia, NC"
"Trifecta Auto Sales","2914 W English Rd, High Point, NC 27262, USA","(336) 790-1236","http://trifectaautosales.com/","","","https://maps.google.com/?cid=12771008029902738760",5,11,"High Point, NC"
"Gastonia Auto World","4404 Wilkinson Blvd, Gastonia, NC 28056, USA","(704) 940-8130","https://www.gastoniaautoworld.com/","","","https://maps.google.com/?cid=15750806856552224118",5,11,"Gastonia, NC"
"A&J AUTO GROUP","1218 N William St, Goldsboro, NC 27530, USA","(919) 288-1815","https://ajautogroupnc.com/","","","https://maps.google.com/?cid=6983796724710810166",5,9,"Goldsboro, NC"
"70 EAST AUTO SALES","1114 Old Cherry Point Rd, New Bern, NC 28560, USA","(252) 671-9501","https://www.70eastautosales.com/","","","https://maps.google.com/?cid=7683414428687594317",5,9,"New Bern, NC"
"RS Motorsports NC","115 Nitro Aly, Mooresville, NC 28115, USA","(704) 360-4009","https://www.rsmotorsportsnc.com/","rob@rsmotorsportsnc.com","rob@rsmotorsportsnc.com","https://maps.google.com/?cid=5761794457672882507",5,8,"Mooresville, NC"
"MRZ Auto Group","4260 S Main St, Salisbury, NC 28147, USA","(980) 554-9823","http://mrzautogroup.com/","sales@mrzautogroup.com","sales@mrzautogroup.com; sales@mrzautogoup.com","https://maps.google.com/?cid=17589675315799558936",5,7,"Salisbury, NC"
"ELFER","1113 Copeland Oaks Dr, Morrisville, NC 27560, USA","(984) 777-9199","http://elfer.us/","info@elfer.us","info@elfer.us; eric@elfer.us","https://maps.google.com/?cid=11505401047373990758",5,7,"Morrisville, NC"
"Corza Automotive","1608 S Ridge Ave, Kannapolis, NC 28083, USA","(704) 298-0031","http://www.corzaautomotive.com/","","","https://maps.google.com/?cid=16685689006705030074",5,6,"Kannapolis, NC"
"LKN Auto Group","18631 Northline Dr Suite F, Cornelius, NC 28031, USA","(704) 308-6686","http://lknautogroup.com/","","","https://maps.google.com/?cid=3014527553234680217",5,6,"Cornelius, NC"
"motorcartrader","18605 Northline Dr, Cornelius, NC 28031, USA","(980) 216-8550","https://motorcartrader.com/contact/","marc@motorcartrader.com","marc@motorcartrader.com","https://maps.google.com/?cid=1370075464902558785",5,4,"Cornelius, NC"
"Kernersville Auto Sales","745 Cinema Ct, Kernersville, NC 27284, USA","(336) 993-9999","http://www.kernersvilleautosales.com/","","","https://maps.google.com/?cid=10343811403525232836",5,4,"Kernersville, NC"
"OW AutoHaus","35 Pamela Ct, Fuquay-Varina, NC 27526, USA","(919) 586-6252","https://www.owautohaus.com/","","","https://maps.google.com/?cid=7687607651712588624",5,4,"Fuquay-Varina, NC"
"Premium Cars of Hickory","3320 Springs Rd NE, Hickory, NC 28601, USA","(828) 320-3586","https://www.premiumcarsofhickory.com/","","","https://maps.google.com/?cid=4403014744630762972",5,3,"Hickory, NC"
"On Track Auto Sales","4235 S Main St, Salisbury, NC 28147, USA","(704) 228-4465","https://www.ontrackautosales.net/contact","","","https://maps.google.com/?cid=4136280163005633823",5,3,"Salisbury, NC"
"OT Autos","8037 Fairview Rd Suite H, Mint Hill, NC 28227, USA","(980) 999-3137","http://www.otautos.com/","","","https://maps.google.com/?cid=6287826046555036906",5,1,"Mint Hill, NC"
"Hendrick Toyota Wilmington","5640 Market St, Wilmington, NC 28405, USA","(910) 795-2945","https://www.toyotaofwilmington.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","","","https://maps.google.com/?cid=289489984073006353",4.9,16253,"Wilmington, NC"
"Stevenson-Hendrick Honda Wilmington","6720 Market St, Wilmington, NC 28405, USA","(910) 777-5828","https://www.stevensonhendrickhonda.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","how-salesmanagers@hendrickauto.com","how-salesmanagers@hendrickauto.com","https://maps.google.com/?cid=830656390937450131",4.9,10076,"Wilmington, NC"
"Mercedes-Benz of Durham","110 Kentington Dr, Durham, NC 27713, USA","(919) 794-7077","https://www.mercedesbenzofdurham.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","","","https://maps.google.com/?cid=8045663302699020145",4.9,4501,"Chapel Hill, NC"
"DriveTime Used Cars","5421 Raeford Rd, Fayetteville, NC 28304, USA","(910) 274-0980","https://www.drivetime.com/?reg=rdu&source=local&vend=google&camn=12801&utm_content=website","","","https://maps.google.com/?cid=16487293354894783803",4.9,3670,"Fayetteville, NC"
"DriveTime Used Cars","4304 Wilkinson Blvd, Gastonia, NC 28056, USA","(704) 823-1153","https://www.drivetime.com/?reg=clt&source=local&vend=google&camn=11904&utm_content=website","","","https://maps.google.com/?cid=7794612488459884775",4.9,3456,"Gastonia, NC"
"DriveTime Used Cars","1370 Peters Creek Pkwy, Winston-Salem, NC 27103, USA","(336) 293-9905","https://www.drivetime.com/?reg=gso&source=local&vend=google&camn=12202&utm_content=website","","","https://maps.google.com/?cid=320630145769369458",4.9,3381,"Winston-Salem, NC"
"BMW of Asheville","31 Skyland Inn Dr, Arden, NC 28704, USA","(828) 681-9900","https://www.bmwofasheville.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website","larryt@fieldsauto.com","larryt@fieldsauto.com","https://maps.google.com/?cid=17964231197057063382",4.9,3243,"Asheville, NC"
"DriveTime Used Cars","6431 N Tryon St, Charlotte, NC 28213, USA","(704) 998-6111","https://www.drivetime.com/?reg=clt&source=local&vend=google&camn=11905&utm_content=website","","","https://maps.google.com/?cid=5200259591662459128",4.9,2915,"Charlotte, NC"
"Anchor Auto Outlet","316 Field St, Cary, NC 27513, USA","(919) 651-0051","http://www.anchorautooutlet.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","","","https://maps.google.com/?cid=10351334509129712114",4.9,2597,"Cary, NC"
"DriveTime Used Cars","3329 S Memorial Dr, Greenville, NC 27834, USA","(252) 417-2415","https://www.drivetime.com/?reg=pgv&source=local&vend=google&camn=19201&utm_content=website","","","https://maps.google.com/?cid=17035190846507313490",4.9,2092,"Greenville, NC"
"Pecheles Honda","3774 Dr. M.L.K. Jr Blvd, New Bern, NC 28562, USA","(252) 672-2188","https://www.pecheleshonda.com/?utm_source=GoogleBusinessProfile&utm_medium=organic","leads@pecheleshondaclients.com","leads@pecheleshondaclients.com","https://maps.google.com/?cid=6143179512868847237",4.9,1808,"New Bern, NC"
"Drive Time Used cars","6321 Market St, Wilmington, NC 28405, USA","(910) 679-9632","https://www.drivetime.com/?reg=ilm&source=local&vend=google&camn=19001&utm_content=website","","","https://maps.google.com/?cid=5806447398917314501",4.9,1609,"Wilmington, NC"
"Affordable Motors inc","3229 Old Lexington Rd, Winston-Salem, NC 27107, USA","(336) 785-3331","https://affordablemotorsnc.com/","","","https://maps.google.com/?cid=408773718885067611",4.9,1104,"Winston-Salem, NC"
"Karma Fuquay","2900 N Main St, Fuquay-Varina, NC 27526, USA","(919) 300-5373","https://www.karmafv.com/","","","https://maps.google.com/?cid=12924588830120558149",4.9,741,"Fuquay-Varina, NC"
"Audi Greenville, NC","3001 Evans St, Greenville, NC 27858, USA","(252) 756-1135","https://www.audigreenvillenc.com/?utm_medium=organic&utm_source=GoogleBusinessProfile","","","https://maps.google.com/?cid=4237859220636898278",4.9,612,"Greenville, NC"
"2267 Auto Sales","1300 S Holden Rd, Greensboro, NC 27407, USA","(336) 773-9569","https://www.2267autosales.com/","","","https://maps.google.com/?cid=131070235510065087",4.9,539,"Greensboro, NC"
"Metri motors","6319 Hillsborough St, Raleigh, NC 27606, USA","(919) 390-3337","https://www.metrimotors.com/","","","https://maps.google.com/?cid=12751488730605142280",4.9,518,"Raleigh, NC"
"I40 Auto","7962 National Service Rd, Greensboro, NC 27409, USA","(336) 900-8000","https://i40auto.com/","leads@i40autogroup.com","leads@i40autogroup.com","https://maps.google.com/?cid=1071270907499639424",4.9,504,"Greensboro, NC"
"Champion Car Company","629 Oakridge Farm Hwy, Mooresville, NC 28115, USA","(704) 664-1155","http://www.championcarcompany.com/","","","https://maps.google.com/?cid=15319227458936776278",4.9,502,"Huntersville, NC"
"Value Motors NC Inc","406 W Roosevelt Blvd, Monroe, NC 28110, USA","(704) 320-9883","http://valuemotorsnc.com/","","","https://maps.google.com/?cid=13223346969743590453",4.9,393,"Indian Trail, NC"
"Riverside Mitsubishi","3715 Dr. M.L.K. Jr Blvd, New Bern, NC 28562, USA","(252) 631-3712","http://www.newbernmitsubishi.com/","","","https://maps.google.com/?cid=6166163813018162980",4.9,353,"New Bern, NC"
"Atlas Motor Co.","915 Capital Blvd, Raleigh, NC 27603, USA","(919) 831-2424","http://www.atlasmotorsnc.com/","","","https://maps.google.com/?cid=2968186847447527625",4.9,339,"Garner, NC"
"Honda of Salisbury","414 Jake Alexander Blvd S, Salisbury, NC 28147, USA","(704) 630-7188","https://www.hondacarsofsalisbury.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","","","https://maps.google.com/?cid=15370050788131918897",4.9,321,"Salisbury, NC"
"Harris Cars Inc.","3460 Gribble Rd, Matthews, NC 28104, USA","(704) 684-0063","http://www.harriscarsinc.com/","office@harriscarsinc.com","office@harriscarsinc.com","https://maps.google.com/?cid=14112866242443968543",4.9,314,"Indian Trail, NC"
"Larry Whicker Motors","1451 NC-66, Kernersville, NC 27284, USA","(336) 993-4619","http://www.larrywhickermotors.com/","","","https://maps.google.com/?cid=2235843339594776739",4.9,286,"Kernersville, NC"
"Let's Drive Motors","9822 Albemarle Rd, Charlotte, NC 28227, USA","(704) 282-3333","https://www.letsdrivemotors.com/","","","https://maps.google.com/?cid=10501662189620385786",4.9,261,"Mint Hill, NC"
"Hazzi Auto Sales","1119 Hope Mills Rd, Fayetteville, NC 28304, USA","(910) 425-5912","http://hazziautosales.com/","","","https://maps.google.com/?cid=14888589810024171163",4.9,246,"Fayetteville, NC"
"Top Motors","5201 Poole Rd, Raleigh, NC 27610, USA","(919) 424-7912","https://topmotorsnc.com/","info@topmotorsnc.com","info@topmotorsnc.com","https://maps.google.com/?cid=8628955175219245835",4.9,241,"Raleigh, NC"
"Smart Start Auto Sales","164 Church St NE, Concord, NC 28025, USA","(704) 380-9108","https://www.smartstartautosales.com/","","","https://maps.google.com/?cid=11422358443331219673",4.9,235,"Concord, NC"
"TLC Automotive","3975 US-601, Concord, NC 28025, USA","(704) 262-2277","http://carstlc.com/","contact@carstlc.com","contact@carstlc.com","https://maps.google.com/?cid=8272463280962396074",4.9,232,"Concord, NC"
"Dluxurious Vehicles LLC.","1724 Hayden Way, Matthews, NC 28105, USA","(980) 245-8869","https://www.dluxuriousvehiclesllc.com/","","","https://maps.google.com/?cid=8133323187317102706",4.9,227,"Indian Trail, NC"
"Ridgeline Automotive","2 Snelson Dr, Asheville, NC 28806, USA","(828) 782-0820","https://ridgelineautomotivellc.com/","ridgelineauto@gmail.com","ridgelineauto@gmail.com","https://maps.google.com/?cid=11232508253631607529",4.9,225,"Asheville, NC"
"1Z Auto Group","1904 N Main St, Kannapolis, NC 28081, USA","(980) 306-2023","http://www.77autogroup.com/","","","https://maps.google.com/?cid=8554676577382812775",4.9,223,"Concord, NC"
"Jay's Used Cars LLC","901 E Wendover Ave, Greensboro, NC 27405, USA","(336) 574-0062","http://www.jaysusedcarsofgso.com/","jaysusedcars@gmail.com","jaysusedcars@gmail.com","https://maps.google.com/?cid=14400769064057261473",4.9,215,"Greensboro, NC"
"webuyanycar.com","18525 Statesville Rd Suite D4, Cornelius, NC 28031, USA","(980) 288-5145","https://www.webuyanycarusa.com/?utm_source=google&utm_medium=business+listing&utm_content=cornelius&utm_campaign=google+my+business","","","https://maps.google.com/?cid=11617086377942851837",4.9,213,"Cornelius, NC"
"1st Choice Autos LLC","727 Martin Luther King Jr Ave S, Salisbury, NC 28144, USA","(704) 798-7837","http://1stchoiceautosllc.com/","","","https://maps.google.com/?cid=7756093436188150469",4.9,209,"Salisbury, NC"
"Elite Motors","3813 Louisiana Ave, Charlotte, NC 28208, USA","(704) 756-7948","http://elitemotorsofcharlotte.com/","","","https://maps.google.com/?cid=12462011343216036737",4.9,203,"Charlotte, NC"
